severity,domain,measured_or_runtime_evidence,screening_idf_configuration,difference_and_disposition
PASS_ENGINE_ONLY,EnergyPlus execution,Post-release champion validation,EnergyPlus admitted=True; warnings=0; severe=0; fatal=0,Engine/syntax gate passes; this does not establish physical calibration.
BLOCKING_SCOPE_TIME,Occupancy count/schedule,"South-office camera only: weekday source-clock peak 46.5 people; active hours [15, 16, 17, 18, 19, 20, 21, 22, 23]","232.5 design people over 4,650 m²; local weekday 8.0–18.0; post-March multiplier 0.25",Not numerically comparable: camera excludes north office and source clock is unresolved. Replace generic schedule only after spatial/time mapping.
BLOCKING_CONTROL,RTU supply-fan feedback/runtime proxy,Four BAS medians 78.30–79.40 %; >5% fractions 97.56–98.75 %,"Continuous availability, identical four-RTU schedule","Continuous operation is a hypothesis, not proven runtime. Build enable state from fan, airflow, pressure, SAT response, and panel power."
MAJOR,RTU return-fan feedback/runtime proxy,Four BAS medians 55.90–80.60 %; >5% fractions 97.56–98.75 %,Continuous availability; 415 Pa return-fan pressure-rise proxy,No measured fan-power/status binding; validate return tracking and power separately.
BLOCKING_CONTROL,RTU supply-air-temperature setpoint,Four point medians 65.62–68.00 °F; point p05 64.00–66.00 °F; p95 68.00–69.00 °F,Fixed 14.4°C (57.9°F) SAT for all four RTUs,"IDF is 7.7–10.1°F below the four measured median setpoints. Replace it with dated measured replay for physics calibration, then infer a validated reset law."
MAJOR,Measured SAT tracking,Actual-minus-setpoint mean -0.1113°F; within ±2°F 89.6%,No BAS tracking-error target in the 50-run objective,Add per-RTU SAT bias/RMSE/tracking gate; monthly kWh cannot substitute.
BLOCKING_CONTROL,Zone cooling setpoints,41 BAS point medians 69.00–84.00 °F,One occupied setpoint 23.2°C (73.8°F),One thermostat erases measured zone diversity and regime changes; use zone/cluster schedules.
BLOCKING_CONTROL,Zone heating setpoints,41 BAS point medians 63.00–72.00 °F,One occupied setpoint 21.8°C (71.2°F),Use measured zone/cluster setpoints; do not replace them with a generic code schedule.
MAJOR,Occupied thermostat deadband,Valid BAS cooling-minus-heating median 3.0°F,2.52°F,Model minus measured median -0.48°F; preserve zone diversity.
BLOCKING_UNIT_BINDING,Supply/static pressure setpoint,Four BAS medians 0.06–0.06 in publisher-labeled psi; unit/Brick semantics unresolved,"1,100 Pa supply-fan pressure rise; not a static-pressure control setpoint",Not directly comparable. Verify units and bind measured setpoint plus plenum-pressure response before tuning fan power.
BLOCKING_CONTROL,Outdoor-air fraction/minimum,OA/SA ratio median 0.4846 during plausible active rows; useful OA data mainly Apr-Dec 2020,Fixed minimum OA 2.360 m³/s versus 6.371 m³/s coil flow (37.0%),"Plausible-row measured median is +11.4 percentage points above the IDF minimum ratio, but it is not a like-for-like minimum-OA test. Replay measured OA/control regimes and smoke modes."
BLOCKING_TOPOLOGY,UFT terminal fans,51 fan columns; point medians 0.00–100.00 %,No terminal fans; 24 conventional VAV terminal proxies,Topology mismatch: implement mapped fan-powered perimeter terminals.
BLOCKING_TOPOLOGY,UFT hydronic heating valves,44 valve columns; point medians 0.00–100.00 %,24 electric reheat coils; about 626 MWh/year excluded from the scored subtotal,Nonphysical major mismatch: replace electric reheat with hydronic UFT coils and regime-correct plant.
BLOCKING_TOPOLOGY,Chilled-water loop temperature/activity,Active-flow supply median 62.56°F; return 60.79°F; return-minus-supply median -0.12°F; flow-active fraction 100.0%,No chilled/condenser-water plant; four air-cooled TwoSpeedDX coils,"Water-cooled topology is absent. Flow is continuously above the proxy threshold in this late-2020 slice, and the negative return-minus-supply median requires sensor/flow-direction review; it is not proven chiller runtime."
BLOCKING_TOPOLOGY,Hot-water loop temperature/activity,Active-flow supply median 123.01°F; return 120.09°F; return-minus-supply median -2.7744°F; flow-active fraction 99.4%,No hot-water loop or heat-pump plant; electric terminal reheat proxy,Implement dated hydronic plant/UFT configuration; do not infer compressor runtime from water flow alone.
BLOCKING_TOPOLOGY,Historical heat-pump HWS temperature,`hp_hws_temp` median 118.2°F; p05-p95 87.2–123.6°F,No hot-water supply-temperature schedule or plant,Use as a temperature/regime diagnostic only; temperature alone is not runtime or delivered heat.
BLOCKING_UNIT_BINDING,Plant thermal-rate point,Publisher-named `aru_001_power_mbtuph` median 66.5569; nontrivial fraction 100.0%,No corresponding plant output/meter binding,Resolve MBtu/h sign and asset scope; never compare this thermal-rate point directly with electrical kW.
MAJOR,RTU design airflow/cooling capacity,"Published per RTU: 20,000 cfm and 105.5 kW (30 ton)","13,500 cfm and 142.4 kW",Airflow -32.5%; capacity +35.0% versus published rating. Do not widen bounds to chase kWh.
